Географска хијерархија - Округ,Географска хијерархија - Општина,Географска хијерархија - Основна школа,Школска година,Број ученика,Просек 6. разред,Просек 7. разред,Просек 8. разред,Просечан број бодова из ОШ,Просек бодова - Матерњи језик,Просек поена - Матерњи језик,Просек станд. скор - Матерњи језик,Просек бодова - Математика,Просек поена - Математика,Просек станд. скор - Математика,Просек бодова - Трећи тест,Просек поена - Трећи тест,Просек станд. скор - Трећи тест,Просек - завршни испит,Укупан просечан број поена
Нишавски управни округ,Медијана,"ОШ ""Ћеле-кула"", Ниш (Медијана)",2022/23,39,4.43,4.36,4.45,52.96,9.03,12.71,547,9.86,13.93,552,8.48,13.99,498,27.38,124.06
Нишавски управни округ,Медијана,"ОШ ""Доситеј Обрадовић"", Ниш (Медијана)",2022/23,45,4.51,4.41,4.53,53.78,8.73,12.48,542,8.98,12.82,525,9.97,16.61,566,27.68,120.94
Нишавски управни округ,Медијана,"ОШ ""Вожд Карађорђе"", Ниш (Медијана)",2022/23,82,4.58,4.55,4.61,54.97,9.47,13.46,565,9.73,13.83,550,9.83,16.34,551,29.03,117.00
Нишавски управни округ,Медијана,"ОШ ""Свети Сава"", Ниш (Медијана)",2022/23,119,4.67,4.63,4.77,56.26,8.63,12.26,537,9.87,14.06,555,9.40,15.69,539,27.89,115.84
Нишавски управни округ,Медијана,"ОШ ""Ратко Вукићевић"", Ниш (Медијана)",2022/23,97,4.64,4.45,4.49,54.31,9.30,13.29,561,10.05,14.36,562,10.00,16.66,563,29.35,115.61
Нишавски управни округ,Медијана,"ОШ ""Душан Радовић"", Ниш (Медијана)",2022/23,162,4.75,4.66,4.65,56.28,9.08,12.93,552,10.02,14.27,560,10.24,17.05,574,29.34,115.46
Нишавски управни округ,Медијана,"ОШ ""Учитељ Таса"" , Ниш (Медијана)",2022/23,105,4.67,4.60,4.68,55.82,8.70,12.28,537,9.66,13.68,546,9.03,14.97,522,27.38,110.86
Нишавски управни округ,Медијана,"ОШ ""Цар Константин"", Ниш (Медијана)",2022/23,132,4.64,4.67,4.73,56.17,9.72,13.89,575,9.47,13.52,542,9.25,15.41,524,28.43,109.62
Нишавски управни округ,Медијана,"ОШ ""Др Зоран Ђинђић"", Брзи Брод",2022/23,46,4.37,4.37,4.45,52.77,9.17,13.10,556,9.78,13.98,553,8.88,14.79,522,27.83,98.52
Нишавски управни округ,Медијана,"ОШ ""Радоје Домановић"", Ниш (Медијана)",2022/23,78,4.07,3.97,4.11,48.61,6.57,9.09,462,8.07,11.33,490,7.50,12.32,442,22.15,78.17
Нишавски управни округ,Пантелеј,"ОШ ""Карађорђе"", Горњи Матејевац",2022/23,21,4.27,4.16,4.38,51.24,8.70,12.43,541,7.73,11.05,483,8.74,14.57,523,25.18,146.62
Нишавски управни округ,Пантелеј,"ОШ ""Његош"", Ниш (Пантелеј)",2022/23,66,3.93,3.85,4.04,47.26,8.97,12.96,553,8.58,13.88,551,8.57,14.88,511,26.12,114.71
Нишавски управни округ,Пантелеј,"ОШ ""Стефан Немања"", Ниш (Пантелеј)",2022/23,151,4.50,4.43,4.47,53.59,7.97,11.33,515,8.64,12.30,513,8.56,14.24,487,25.17,105.72
Нишавски управни округ,Пантелеј,"ОШ ""Чегар"", Ниш (Пантелеј)",2022/23,104,4.41,4.47,4.48,53.45,8.35,11.89,528,9.21,13.16,533,8.74,14.51,499,26.30,100.58
Нишавски управни округ,Пантелеј,"ОШ ""Мирослав Антић"", Ниш (Пантелеј)",2022/23,122,4.46,4.33,4.41,52.79,8.48,12.10,533,8.32,11.84,502,9.25,15.42,537,26.05,98.49
Нишавски управни округ,Пантелеј,"ОШ ""Јован Јовановић Змај"", Малча",2022/23,6,4.34,4.32,4.52,52.71,7.23,10.33,492,7.93,11.33,490,8.90,14.83,537,24.07,76.78
Нишавски управни округ,Пантелеј,"ОШ ""Стеван Синђелић"", Каменица",2022/23,10,4.24,4.04,4.31,50.32,7.18,10.25,490,7.35,10.50,470,8.34,13.90,490,22.87,74.45
Нишавски управни округ,Палилула (Ниш),"Гимназија ""Светозар Марковић"", Ниш (Палилула)",2022/23,17,4.98,4.93,4.91,59.27,11.36,16.24,630,13.46,19.24,679,11.44,19.06,597,36.26,244.06
Нишавски управни округ,Палилула (Ниш),"ОШ ""Бубањски хероји"", Ниш (Палилула)",2022/23,85,4.39,4.40,4.51,53.23,7.98,11.34,515,9.43,13.42,540,9.38,15.59,532,26.79,102.63
Нишавски управни округ,Палилула (Ниш),"ОШ ""Десанка Максимовић"", Чокот",2022/23,96,4.19,4.18,4.24,50.41,6.97,9.73,477,7.48,10.66,474,7.79,12.95,471,22.24,94.04
Нишавски управни округ,Палилула (Ниш),"ОШ ""Краљ Петар I"", Ниш (Палилула)",2022/23,121,4.30,4.24,4.30,51.40,7.65,10.93,506,8.87,12.68,522,8.86,14.76,515,25.39,88.72
Нишавски управни округ,Палилула (Ниш),"ОШ ""Бранко Миљковић"", Ниш (Палилула)",2022/23,97,4.34,4.20,4.24,51.10,7.79,11.16,511,8.62,12.16,509,8.83,14.61,515,25.24,88.12
Нишавски управни округ,Палилула (Ниш),"ОШ ""Коле Рашић"", Ниш (Палилула)",2022/23,67,4.48,4.36,4.40,52.96,7.27,10.38,493,8.03,11.48,493,8.37,13.95,493,23.67,86.34
Нишавски управни округ,Палилула (Ниш),"ОШ ""Сретен Младеновић Мика"", Ниш (Палилула)",2022/23,28,4.04,3.96,3.99,47.97,7.28,10.39,493,6.93,9.89,455,7.46,12.43,447,21.66,77.17
Нишавски управни округ,Палилула (Ниш),"ОШ ""Бранко Радичевић"", Габровац",2022/23,10,4.37,4.13,4.23,50.95,6.58,8.67,452,6.27,8.33,418,7.62,11.89,443,20.47,73.20
Нишавски управни округ,Палилула (Ниш),"Специјална школа са домом ученика ""Бубањ"", Ниш (Палилула)",2022/23,18,4.71,4.63,4.80,56.55,10.58,,,10.85,,,8.82,,,30.24,
Нишавски управни округ,Палилула (Ниш),"Школа за основно и средње образовање ""Царица Јелена"", Ниш (Палилула)",2022/23,6,4.64,4.74,4.59,55.87,11.67,,,12.83,,,10.20,,,34.70,
Нишавски управни округ,Црвени крст,"ОШ ""Војислав Илић Млађи"", Хум",2022/23,13,4.59,4.67,4.71,55.91,8.51,11.58,521,9.69,13.33,538,9.78,16.00,563,27.98,98.73
Нишавски управни округ,Црвени крст,"ОШ ""Први мај"", Трупале",2022/23,29,4.11,3.97,4.09,48.71,8.69,11.23,513,9.53,12.46,517,9.25,14.54,505,27.47,95.13
Нишавски управни округ,Црвени крст,"ОШ ""Иво Андрић"", Ниш (Црвени крст)",2022/23,107,4.31,4.14,4.24,50.77,6.47,9.15,464,7.22,10.22,463,8.10,13.44,480,21.79,85.33
