okrug,opstina,naziv,mesto,latitude,longitude,geocoded_query
Јабланички управни округ,Бојник,"ОШ ""Станимир Вељковић Зеле"", Бојник",Бојник,43.0127645,21.7214247,"Бојник, Бојник, Serbia"
Јабланички управни округ,Бојник,"ОШ ""Стојан Љубић"", Косанчић",Косанчић,43.0883574,21.7778701,"ОШ ""Стојан Љубић"", Косанчић, Косанчић, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""25. мај"", Доња Лопушња",Доња Лопушња,42.9074724,22.1813295,"Доња Лопушња, Власотинце, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""8. октобар"", Власотинце",Власотинце,42.9657576,22.1278051,"ОШ ""8. октобар"", Власотинце, Власотинце, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""Божидар Миљковић"", Горњи Присјан",Горњи Присјан,43.0630595,22.2268632,"Горњи Присјан, Власотинце, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""Браћа Миленковић"", Шишаве",Шишаве,42.9804097,22.1242821,"Шишаве, Власотинце, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""Вук Караџић"", Тегошница",Тегошница,42.949685,22.304821,"Тегошница, Власотинце, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""Доситеј Обрадовић"", Свође",Свође,42.9782184,22.2653004,"ОШ ""Доситеј Обрадовић"", Свође, Свође, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""Карађорђе Петровић"", Крушевица",Крушевица,42.9816432,22.1945772,"""Карађорђе Петровић"", Крушевица, Крушевица, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""Свети Сава"", Гложане",Гложане,42.96622,22.049467,"Гложане, Власотинце, Serbia"
Јабланички управни округ,Власотинце,"ОШ ""Синиша Јанић"", Власотинце",Власотинце,42.9606872,22.1295999,"""Синиша Јанић"", Власотинце, Власотинце, Serbia"
Јабланички управни округ,Лебане,"ОШ ""Вук Караџић"", Лебане",Лебане,42.9142619,21.7364046,"""Вук Караџић"", Лебане, Лебане, Serbia"
Јабланички управни округ,Лебане,"ОШ ""Радован Ковачевић Максим"", Лебане",Лебане,42.9211789,21.739241,"""Радован Ковачевић Максим"", Лебане, Лебане, Serbia"
Јабланички управни округ,Лебане,"ОШ ""Радоје Домановић"", Бошњаце",Бошњаце,42.946349,21.827152,"Бошњаце, Лебане, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Ђура Јакшић"", Турековац",Турековац,42.9840587,21.8821665,"ОШ ""Ђура Јакшић"", Турековац, Турековац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Јосиф Костић"", Лесковац",Лесковац,42.9948124,21.9514066,"""Јосиф Костић"", Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Јосиф Панчић"", Орашац",Орашац,43.055099,22.067152,"Орашац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Аца Синадиновић"", Предејане (варош)",Предејане,42.8324918,22.1403994,"Предејане, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Бора Станковић"", Богојевце",Богојевце,43.0500707,21.9603644,"Богојевце, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Бора Станковић"", Вучје",Вучје,42.8649674,21.9111809,"Вучје, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Бора Станковић"", Губеревац",Губеревац,42.947969,22.028541,"Губеревац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Бранко Радичевић"", Брестовац",Брестовац,43.1526987,21.8775713,"Брестовац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Васа Пелагић"", Лесковац",Лесковац,42.9976927,21.9398668,"ОШ ""Васа Пелагић"", Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Вожд Карађорђе"", Лесковац",Лесковац,42.9826202,21.9563805,"ОШ ""Вожд Карађорђе"", Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Вук Караџић"", Велика Грабовница",Велика Грабовница,42.924626,22.011355,"Велика Грабовница, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Вук Караџић"", Лесковац",Лесковац,43.0021318,21.9452482,"""Вук Караџић"", Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Вук Караџић"", Печењевце",Печењевце,43.1026477,21.9245847,"Печењевце, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Десанка Максимовић"", Грделица (варош)",Грделица,42.8922128,22.074035,"""Десанка Максимовић"", Грделица, Грделица, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Коста Стаменковић"", Лесковац",Лесковац,42.9912366,21.9321699,"""Коста Стаменковић"", Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Милутин Смиљковић"", Винарце",Винарце,43.025642,21.917428,"Винарце, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Никола Скобаљић"", Велико Трњане",Велико Трњане,42.928365,21.950498,"Велико Трњане, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Петар Тасић"", Лесковац",Лесковац,43.8161259,22.1953933,"Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Радоје Домановић"", Манојловце",Манојловце,43.014292,22.014678,"Манојловце, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Светозар Марковић"", Лесковац",Лесковац,42.9933178,21.945768,"""Светозар Марковић"", Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Славко Златановић"", Мирошевце",Мирошевце,42.8658936,21.8392108,"Мирошевце, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"ОШ ""Трајко Стаменковић"", Лесковац",Лесковац,42.9994276,21.9283875,"ОШ ""Трајко Стаменковић"", Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"Школа за основно и средње образовање ""11. октобар"", Лесковац",Лесковац,43.8161259,22.1953933,"Лесковац, Лесковац, Serbia"
Јабланички управни округ,Лесковац,"Школа за основно образовање одраслих ""Доситеј Обрадовић"", Лесковац",Лесковац,43.8161259,22.1953933,"Лесковац, Лесковац, Serbia"
Јабланички управни округ,Медвеђа,"ОШ ""Владимир Букилић"", Туларе",Туларе,42.794168,21.460543,"Туларе, Медвеђа, Serbia"
Јабланички управни округ,Медвеђа,"ОШ ""Горња Јабланица"", Медвеђа",Медвеђа,42.8420679,21.5865367,"""Горња Јабланица"", Медвеђа, Медвеђа, Serbia"
Јабланички управни округ,Медвеђа,"ОШ ""Зенељ Хајдини"", Тупале",Тупале,42.8225019,21.6059296,"Тупале, Медвеђа, Serbia"
Јабланички управни округ,Медвеђа,"ОШ ""Партизански дом"", Доњи Бучумет",Доњи Бучумет,42.914075,21.618964,"Доњи Бучумет, Медвеђа, Serbia"
Јабланички управни округ,Медвеђа,"ОШ ""Радован Ковачевић"", Леце",Леце,42.9090327,21.5329748,"Леце, Медвеђа, Serbia"
Јабланички управни округ,Медвеђа,"ОШ ""Сијаринска Бања"", Сијаринска Бања",Сијаринска Бања,42.7798057,21.5992597,"""Сијаринска Бања"", Сијаринска Бања, Сијаринска Бања, Serbia"
Јабланички управни округ,Црна Трава,"ОШ ""Александар Стојановић"", Црна Трава",Црна Трава,42.8082728,22.299623,"ОШ ""Александар Стојановић"", Црна Трава, Црна Трава, Serbia"
Јужнобанатски управни округ,Алибунар,"ОШ ""1. мај"", Владимировац",Владимировац,45.0318784,20.8654002,"Владимировац, Алибунар, Serbia"
Јужнобанатски управни округ,Алибунар,"ОШ ""2. октобар"", Николинци",Николинци,45.0531497,21.066206,"Николинци, Алибунар, Serbia"
